"Source:","C:\Users\luuk\Documents\GitHub\Schem\ESC\ESC.kicad_sch"
"Date:","14/02/2024 13:05:53"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","126"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Sim.Device","Sim.Library","Sim.Name","Sim.Params","Sim.Pins"
"","","C1","1uF","Device:C","","~","","","","",""
"","","C2","150uF","Device:C_Polarized","","~","","","","",""
"","","C3","1uF","Device:C","","~","","","","",""
"","","C4","150uF","Device:C_Polarized","","~","","","","",""
"","","C5","470nF","Device:C","","~","","","","",""
"","","C6","2.2uF","Device:C","","~","","","","",""
"","","C7","120pF","Device:C","","~","","","","",""
"","","C8","0.1uF","Device:C","","~","","","","",""
"","","C9","6.8nF","Device:C","","~","","","","",""
"","","C10","15nF","Device:C","","~","","","","",""
"","","C11","4.7uF","Device:C","","~","","","","",""
"","","C12","47nF","Device:C","","~","","","","",""
"","","C13","0.1uF","Device:C","","~","","","","",""
"","","C14","47uF","Device:C_Polarized","","~","","","","",""
"","","C15","470nF","Device:C","","~","","","","",""
"","","C16","2.2uF","Device:C","","~","","","","",""
"","","C17","100nF","Device:C","","~","","","","",""
"","","C18","2.2uF","Device:C","","~","","","","",""
"","","C19","22nF","Device:C","","~","","","","",""
"","","C20","47nF","Device:C","","~","","","","",""
"","","C21","470nF","Device:C","","~","","","","",""
"","","C22","1uF","Device:C","","~","","","","",""
"","","C23","1uF","Device:C","","~","","","","",""
"","","C24","0.1uF","Device:C","","~","","","","",""
"","","C25","4.7uF","Device:C","","~","","","","",""
"","","C26","2.2uF","Device:C","","~","","","","",""
"","","C27","47nF","Device:C","","~","","","","",""
"","","D1","D_Zener","Device:D_Zener","","~","","","","",""
"","","D2","LED","Device:LED","","~","","","","",""
"","","D3","LED","Device:LED","","~","","","","",""
"","","D4","LED","Device:LED","","~","","","","",""
"","","D5","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","D","","","","1=K 2=A"
"","","D6","D_Schottky","Device:D_Schottky","","~","","","","",""
"","","D7","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","D","","","","1=K 2=A"
"","","D8","LED","Device:LED","","~","","","","",""
"","","D9","LED","Device:LED","","~","","","","",""
"","","D10","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","D","","","","1=K 2=A"
"","","F1","Fuse","Device:Fuse","","~","","","","",""
"","","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~","","","","",""
"","","J2","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","",""
"","","J3","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","","~","","","","",""
"","","L1","22uH","Device:L","","~","","","","",""
"","","PS1","MEE1S2412SC","Converter_DCDC:MEE1S2412SC","Converter_DCDC:Converter_DCDC_Murata_MEE1SxxxxSC_THT","https://power.murata.com/pub/data/power/ncl/kdc_mee1.pdf","","","","",""
"","","Q1","BS250","Transistor_FET:BS250","Package_TO_SOT_THT:TO-92_Inline","http://www.vishay.com/docs/70209/70209.pdf","","","","",""
"","","Q2","IPD031N03L","Transistor_FET:IPP060N06N","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://4donline.ihs.com/images/VipMasterIC/IC/INFN/INFNS27213/INFNS27213-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","","","",""
"","","Q3","IPD031N03L","Transistor_FET:IPP060N06N","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://4donline.ihs.com/images/VipMasterIC/IC/INFN/INFNS27213/INFNS27213-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","","","",""
"","","Q4","IPD031N03L","Transistor_FET:IPP060N06N","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://4donline.ihs.com/images/VipMasterIC/IC/INFN/INFNS27213/INFNS27213-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","","","",""
"","","Q5","IPD031N03L","Transistor_FET:IPP060N06N","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://4donline.ihs.com/images/VipMasterIC/IC/INFN/INFNS27213/INFNS27213-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","","","",""
"","","Q6","IPD031N03L","Transistor_FET:IPP060N06N","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://4donline.ihs.com/images/VipMasterIC/IC/INFN/INFNS27213/INFNS27213-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","","","",""
"","","Q7","IPD031N03L","Transistor_FET:IPP060N06N","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://4donline.ihs.com/images/VipMasterIC/IC/INFN/INFNS27213/INFNS27213-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","","","",""
"","","R1","1K","Device:R","","~","","","","",""
"","","R2","1K","Device:R","","~","","","","",""
"","","R3","1K","Device:R","","~","","","","",""
"","","R4","100R","Device:R","","~","","","","",""
"","","R5","10R","Device:R","","~","","","","",""
"","","R6","10k","Device:R","","~","","","","",""
"","","R7","10k","Device:R","","~","","","","",""
"","","R8","10k","Device:R","","~","","","","",""
"","","R9","52k5","Device:R","","~","","","","",""
"","","R10","10k","Device:R","","~","","","","",""
"","","R11","1R","Device:R","","~","","","","",""
"","","R12","16.2K","Device:R","","~","","","","",""
"","","R13","205k","Device:R","","~","","","","",""
"","","R14","100R","Device:R","","~","","","","",""
"","","R15","10k","Device:R","","~","","","","",""
"","","R16","10k","Device:R","","~","","","","",""
"","","R17","100R","Device:R","","~","","","","",""
"","","R18","1M","Device:R","","~","","","","",""
"","","R19","10R","Device:R","","~","","","","",""
"","","R20","1k","Device:R","","~","","","","",""
"","","R21","1k","Device:R","","~","","","","",""
"","","R22","100R","Device:R","","~","","","","",""
"","","R23","10k","Device:R","","~","","","","",""
"","","R24","10k","Device:R","","~","","","","",""
"","","R25","100R","Device:R","","~","","","","",""
"","","R26","10R","Device:R","","~","","","","",""
"","","R27","100R","Device:R","","~","","","","",""
"","","R28","10k","Device:R","","~","","","","",""
"","","R29","10k","Device:R","","~","","","","",""
"","","R30","10k","Device:R","","~","","","","",""
"","","R31","10k","Device:R","","~","","","","",""
"","","R32","10k","Device:R","","~","","","","",""
"","","R33","100R","Device:R","","~","","","","",""
"","","RV1","Varistor","Device:Varistor","","~","SUBCKT","${KICAD7_SYMBOL_DIR}/Simulation_SPICE.sp","kicad_builtin_varistor","threshold=1k","1=A 2=B"
"","","TP1","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP2","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP3","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP4","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP5","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP6","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP7","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP8","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP9","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP10","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
"","","TP11","TestPoint_Small","Connector:TestPoint_Small","","~","","","","",""
